id,free_text,expected_response,rule_types_names
HedgehogD1Q1,"An instance of Underground Survival Rating needs to be created, dealing with the animal's survival ability in the underground environment. The severity of this survival rating is five. The spine density of the animal is, well, seventy-eight. However, the burrowing skill is much more impressive, let's say something like ninety. The rolling speed is four and the diet adaptability of the animal is omnivorous. The hibernation habits are, unfortunately, not specified.","{'ruleInstanceName': 'Underground Survival Rating', 'severity': 5, 'Spine density': 78, 'Rolling speed': 4, 'Diet adaptability': 'omnivorous', 'Burrowing skill': 90, 'Hibernation habits': ''}",Hedgehog
HedgehogD1Q2,"An instance of Underground Survival Rating needs to be established, dealing with the ability of a creature to survive underground. The spine density of the creature is quite high, let's say, seventy-eight. Interestingly, its diet adaptability shows it's omnivorous. The creature has a decent rolling speed, just about four. The burrowing skill of the creature is excellent, rating at around ninety. However, information about its hibernation habits is currently not available. The severity of the survival rating is five.","{'ruleInstanceName': 'Underground Survival Rating', 'severity': 5, 'Spine density': 78, 'Rolling speed': 4, 'Diet adaptability': 'omnivorous', 'Burrowing skill': 90, 'Hibernation habits': ''}",Hedgehog
HedgehogD1Q3,"An instance of Underground Survival Rating needs to be created, dealing with the survival statistics of a creature. The spine density of the creature is, um, seventy-eight. However, the burrowing skill is much higher, let's say something like ninety. The creature's rolling speed is four, and the severity of its survival rating is five. Its diet adaptability is omnivorous and hibernation habits are unknown.","{'ruleInstanceName': 'Underground Survival Rating', 'severity': 5, 'Spine density': 78, 'Rolling speed': 4, 'Diet adaptability': 'omnivorous', 'Burrowing skill': 90, 'Hibernation habits': ''}",Hedgehog
HedgehogD1Q4,"An instance of Underground Survival Rating needs to be created for a creature, possessing a spine density of seventy-eight. Its rolling speed, though, was just four. However, it shows a significant burrowing skill that's around ninety. The creature is omnivorous according to its diet adaptability, and the severity of the survival conditions is five.","{'ruleInstanceName': 'Underground Survival Rating', 'severity': 5, 'Spine density': 78, 'Rolling speed': 4, 'Diet adaptability': 'omnivorous', 'Burrowing skill': 90, 'Hibernation habits': ''}",Hedgehog
HedgehogD1Q5,"An instance of Underground Survival Rating needs to be created, focusing on the critter's adaptability to underground living. The severity of survival conditions is, well, five. The critter is well-equipped with a spine density of seventy-eight and a rolling speed of four. It is omnivorous in terms of diet adaptability. The critter's burrowing skill is quite impressive, standing at ninety. The hibernation habits of the critter are not documented.","{'ruleInstanceName': 'Underground Survival Rating', 'severity': 5, 'Spine density': 78, 'Rolling speed': 4, 'Diet adaptability': 'omnivorous', 'Burrowing skill': 90, 'Hibernation habits': ''}",Hedgehog
HedgehogD2Q1,"The instance named Predator Prey Dynamics is to be created, dealing with a carnivorous creature. The creature has a spine density of sixty-five, but no rolling speed is defined. The creature is known for its burrowing skill, which is rated as high as eighty. The creature does not hibernate, indicating its typical hibernation habits. With a severity of six, this creature's presence in an ecosystem can have significant impacts.","{'ruleInstanceName': 'Predator Prey Dynamics', 'severity': 6, 'Spine density': 65, 'Rolling speed': '', 'Diet adaptability': 'carnivorous', 'Burrowing skill': 80, 'Hibernation habits': 'No'}",Hedgehog
HedgehogD2Q2,"A model named Predator Prey Dynamics needs to be set up. We are dealing with a predatory creature here, with a spine density of sixty-five. We don't have any information on its rolling speed. The creature is carnivorous and has an impressive burrowing skill of eighty. It does not have any hibernation habits. The severity of the creature's predatory habits is six.","{'ruleInstanceName': 'Predator Prey Dynamics', 'severity': 6, 'Spine density': 65, 'Rolling speed': '', 'Diet adaptability': 'carnivorous', 'Burrowing skill': 80, 'Hibernation habits': 'No'}",Hedgehog
HedgehogD2Q3,"An instance of Predator Prey Dynamics needs to be created, dealing with the creature having a spine density of sixty-five. The creature shows carnivorous diet adaptability, with a remarkable burrowing skill, let's say something like eighty. However, the creature does not have any hibernation habits, and the severity of the event is six.","{'ruleInstanceName': 'Predator Prey Dynamics', 'severity': 6, 'Spine density': 65, 'Rolling speed': '', 'Diet adaptability': 'carnivorous', 'Burrowing skill': 80, 'Hibernation habits': 'No'}",Hedgehog
HedgehogD2Q4,"A model of Predator Prey Dynamics needs to be established, focusing on the concept of carnivorous feeding habits. The spine density of the predator, let's say it's around sixty-five. The creature's burrowing skill is quite remarkable, around eighty I would say. However, the rolling speed isn't provided. The severity of the predator-prey interaction is six. Oh, and no, the creature does not have any hibernation habits.","{'ruleInstanceName': 'Predator Prey Dynamics', 'severity': 6, 'Spine density': 65, 'Rolling speed': '', 'Diet adaptability': 'carnivorous', 'Burrowing skill': 80, 'Hibernation habits': 'No'}",Hedgehog
HedgehogD2Q5,"We need to generate an instance of Predator Prey Dynamics. We are dealing with an animal with a spine density of sixty five and has a carnivorous dietary adaptability. This animal doesn't have a habit of hibernation, answering that with a clear no. Its burrowing skill can be rated as eighty. However, it doesn't have any recorded rolling speed. The severity of the event is six.","{'ruleInstanceName': 'Predator Prey Dynamics', 'severity': 6, 'Spine density': 65, 'Rolling speed': '', 'Diet adaptability': 'carnivorous', 'Burrowing skill': 80, 'Hibernation habits': 'No'}",Hedgehog
